Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-18,16795.609375,16815.38671875,16697.8203125,16757.9765625,10924354698,0.0,0.0
2022-12-19,16759.041015625,16807.52734375,16398.13671875,16439.6796875,17221074814,0.0,0.0
2022-12-20,16441.787109375,17012.984375,16427.8671875,16906.3046875,22722096615,0.0,0.0
2022-12-21,16904.52734375,16916.80078125,16755.912109375,16817.53515625,14882945045,0.0,0.0
2022-12-22,16818.380859375,16866.673828125,16592.408203125,16830.341796875,16441573050,0.0,0.0
2022-12-23,16829.64453125,16905.21875,16794.458984375,16796.953125,15329265213,0.0,0.0
2022-12-24,16796.9765625,16864.703125,16793.52734375,16847.755859375,9744636213,0.0,0.0
2022-12-25,16847.505859375,16860.5546875,16755.25390625,16841.986328125,11656379938,0.0,0.0
2022-12-26,16842.25,16920.123046875,16812.369140625,16919.8046875,11886957804,0.0,0.0
2022-12-27,16919.291015625,16959.845703125,16642.072265625,16717.173828125,15748580239,0.0,0.0
2022-12-28,16716.400390625,16768.169921875,16497.556640625,16552.572265625,17005713920,0.0,0.0
2022-12-29,16552.322265625,16651.755859375,16508.68359375,16642.341796875,14472237479,0.0,0.0
2022-12-30,16641.330078125,16643.427734375,16408.474609375,16602.5859375,15929162910,0.0,0.0
2022-12-31,16603.673828125,16628.986328125,16517.51953125,16547.49609375,11239186456,0.0,0.0
2023-01-01,16547.9140625,16630.439453125,16521.234375,16625.080078125,9244361700,0.0,0.0
2023-01-02,16625.509765625,16759.34375,16572.228515625,16688.470703125,12097775227,0.0,0.0
2023-01-03,16688.84765625,16760.447265625,16622.37109375,16679.857421875,13903079207,0.0,0.0
2023-01-04,16680.205078125,16964.5859375,16667.763671875,16863.23828125,18421743322,0.0,0.0
2023-01-05,16863.47265625,16884.021484375,16790.283203125,16836.736328125,13692758566,0.0,0.0
2023-01-06,16836.47265625,16991.994140625,16716.421875,16951.96875,14413662913,0.0,0.0
2023-01-07,16952.1171875,16975.017578125,16914.19140625,16955.078125,7714767174,0.0,0.0
2023-01-08,16954.146484375,17091.14453125,16924.05078125,17091.14453125,9768827914,0.0,0.0
2023-01-09,17093.9921875,17389.95703125,17093.9921875,17196.5546875,18624736866,0.0,0.0
2023-01-10,17192.94921875,17484.720703125,17162.990234375,17446.29296875,15808338949,0.0,0.0
2023-01-11,17446.359375,17934.896484375,17337.994140625,17934.896484375,18372283782,0.0,0.0
2023-01-12,18117.59375,19030.087890625,17995.203125,18869.587890625,34971338710,0.0,0.0
2023-01-13,18868.90625,19964.322265625,18753.1640625,19909.57421875,29225029694,0.0,0.0
2023-01-14,19910.537109375,21075.142578125,19907.828125,20976.298828125,38967784639,0.0,0.0
2023-01-15,20977.484375,20993.748046875,20606.986328125,20880.798828125,19298407543,0.0,0.0
2023-01-16,20882.224609375,21360.875,20715.74609375,21169.6328125,26792494050,0.0,0.0
2023-01-17,21175.833984375,21438.66015625,20978.533203125,21161.51953125,24999983362,0.0,0.0
2023-01-18,21161.05078125,21564.501953125,20541.544921875,20688.78125,30005625418,0.0,0.0
2023-01-19,20686.74609375,21163.01171875,20685.380859375,21086.79296875,21152848261,0.0,0.0
2023-01-20,21085.373046875,22692.357421875,20919.126953125,22676.552734375,28799154319,0.0,0.0
2023-01-21,22677.427734375,23282.34765625,22511.833984375,22777.625,32442278429,0.0,0.0
2023-01-22,22777.986328125,23056.73046875,22387.900390625,22720.416015625,24746386230,0.0,0.0
2023-01-23,22721.087890625,23126.486328125,22654.3046875,22934.431640625,26518700512,0.0,0.0
2023-01-24,22929.626953125,23134.01171875,22549.744140625,22636.46875,26405069715,0.0,0.0
2023-01-25,22639.267578125,23722.099609375,22406.076171875,23117.859375,30685366709,0.0,0.0
2023-01-26,23108.955078125,23237.078125,22911.373046875,23032.77734375,26357839322,0.0,0.0
2023-01-27,23030.716796875,23417.720703125,22654.59375,23078.728515625,25383335641,0.0,0.0
2023-01-28,23079.96484375,23165.896484375,22908.845703125,23031.08984375,14712928379,0.0,0.0
2023-01-29,23031.44921875,23919.890625,22985.0703125,23774.56640625,27423687259,0.0,0.0
2023-01-30,23774.6484375,23789.34765625,22657.58203125,22840.138671875,27205595568,0.0,0.0
2023-01-31,22840.796875,23225.021484375,22765.568359375,23139.283203125,22837828665,0.0,0.0
2023-02-01,23137.8359375,23764.5390625,22877.75,23723.76953125,26683255504,0.0,0.0
2023-02-02,23720.82421875,24167.2109375,23468.595703125,23471.87109375,32066936882,0.0,0.0
2023-02-03,23469.412109375,23678.103515625,23279.955078125,23449.322265625,27083066007,0.0,0.0
2023-02-04,23446.3203125,23556.94921875,23291.794921875,23331.84765625,15639298538,0.0,0.0
2023-02-05,23332.248046875,23423.435546875,22841.759765625,22955.666015625,19564262605,0.0,0.0
2023-02-06,22954.021484375,23119.279296875,22692.025390625,22760.109375,23825006542,0.0,0.0
2023-02-07,22757.267578125,23310.974609375,22756.2578125,23264.291015625,27187964471,0.0,0.0
2023-02-08,23263.416015625,23367.958984375,22731.09765625,22939.3984375,25371367758,0.0,0.0
2023-02-09,22946.56640625,22996.4375,21773.974609375,21819.0390625,32572572185,0.0,0.0
2023-02-10,21819.005859375,21941.185546875,21539.392578125,21651.18359375,27078406594,0.0,0.0
2023-02-11,21651.841796875,21891.41015625,21618.44921875,21870.875,16356226232,0.0,0.0
2023-02-12,21870.90234375,22060.994140625,21682.828125,21788.203125,17821046406,0.0,0.0
2023-02-13,21787.0,21898.4140625,21460.087890625,21808.1015625,23918742607,0.0,0.0
2023-02-14,21801.822265625,22293.140625,21632.39453125,22220.8046875,26792596581,0.0,0.0
2023-02-15,22220.5859375,24307.841796875,22082.76953125,24307.841796875,32483312909,0.0,0.0
2023-02-16,24307.349609375,25134.1171875,23602.5234375,23623.474609375,39316664596,0.0,0.0
2023-02-17,23621.283203125,24924.041015625,23460.755859375,24565.6015625,41358451255,0.0,0.0
2023-02-18,24565.296875,24798.8359375,24468.373046875,24641.27734375,19625427158,0.0,0.0
2023-02-19,24640.02734375,25093.0546875,24327.642578125,24327.642578125,25555105670,0.0,0.0
2023-02-20,24336.623046875,25020.458984375,23927.91015625,24829.1484375,28987376573,0.0,0.0
2023-02-21,24833.048828125,25126.8515625,24200.36328125,24436.353515625,31252098714,0.0,0.0
2023-02-22,24437.41796875,24472.33984375,23644.318359375,24188.84375,30199996781,0.0,0.0
